n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
220,0.9,-1.5,lesser,-17.66,-49.58,-6.29,-5.9,-0.3929,-0.325,-24.69,21
300,0.85,-1.0,lesser,-17.13,-55.37,-6.09,-5.72,-0.3939,-0.3167,-23.55,18
220,0.7,-1.5,lesser,-18.48,-55.07,-6.6,-6.17,-0.3994,-0.3536,-24.4,32
140,0.9,-1.5,lesser,-22.79,-54.41,-8.28,-7.62,-0.4004,-0.2709,-31.08,34
120,0.85,-1.0,lesser,-25.53,-54.88,-9.38,-8.53,-0.4056,-0.3047,-41.43,54
100,0.7,-1.0,lesser,-25.22,-40.81,-9.25,-8.42,-0.4097,-0.3062,-43.14,85
160,0.85,-2.0,lesser,-20.76,-80.61,-7.48,-6.94,-0.4099,-0.3009,-28.48,24
200,0.8,-1.5,lesser,-19.01,-54.61,-6.8,-6.35,-0.4121,-0.3432,-27.61,28
240,0.8,-2.0,lesser,-16.84,-62.03,-5.97,-5.63,-0.4127,-0.3165,-24.01,13
200,0.85,-2.0,lesser,-15.64,-63.54,-5.52,-5.23,-0.4175,-0.3204,-24.47,13
40,0.7,-1.0,lesser,-24.39,-100.47,-8.92,-8.15,-0.4214,-0.341,-40.34,205
